,adult_main,budget_main,id_main,release_date_main,revenue_main,runtime_main,original_language_main,Action_genre_main,Adventure_genre_main,Animation_genre_main,Comedy_genre_main,Crime_genre_main,Documentary_genre_main,Drama_genre_main,Family_genre_main,Fantasy_genre_main,History_genre_main,Horror_genre_main,Music_genre_main,Mystery_genre_main,Romance_genre_main,Science Fiction_genre_main,TV Movie_genre_main,Thriller_genre_main,War_genre_main,Western_genre_main,collection_popularity_coll_details,popularity_crew,0_gender_crew,1_gender_crew,2_gender_crew,3_gender_crew,Directing_relevance_crew,popularity_crew_2,0_gender_crew_2,1_gender_crew_2,2_gender_crew_2,3_gender_crew_2,Directing_relevance_crew_2,popularity_crew_3,0_gender_crew_3,1_gender_crew_3,2_gender_crew_3,3_gender_crew_3,Directing_relevance_crew_3,popularity_cast,2_gender_cast,1_gender_cast,0_gender_cast,3_gender_cast,Acting_relevance_cast,popularity_cast_2,2_gender_cast_2,1_gender_cast_2,0_gender_cast_2,3_gender_cast_2,Acting_relevance_cast_2,popularity_cast_3,2_gender_cast_3,1_gender_cast_3,0_gender_cast_3,3_gender_cast_3,Acting_relevance_cast_3,popularity_cast_4,2_gender_cast_4,1_gender_cast_4,0_gender_cast_4,3_gender_cast_4,Acting_relevance_cast_4,popularity_cast_5,2_gender_cast_5,1_gender_cast_5,0_gender_cast_5,3_gender_cast_5,Acting_relevance_cast_5
27,False,88000000.0,568620.0,7/22/2021,36964325.0,121.0,en,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.218,1.988,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,1.0,0.0,0.0,0.0,1.0,6.53,0.0,1.0,0.0,0.0,1.0,23.089,0.0,1.0,0.0,0.0,1.0,15.877,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,False,15800000.0,635302.0,10/16/2020,503063688.0,117.0,ja,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.721,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474,0.0,1.0,0.0,0.0,1.0,5.813,1.0,0.0,0.0,0.0,1.0,7.324,1.0,0.0,0.0,0.0,1.0,4.186,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,False,30000000.0,574060.0,7/14/2021,344931.0,114.0,en,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,329.9515,0.84,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.132,0.0,1.0,0.0,0.0,1.0,5.171,0.0,1.0,0.0,0.0,1.0,16.006,0.0,1.0,0.0,0.0,1.0,12.004,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417
33,False,8400000.0,589754.0,1/1/2021,27658331.0,120.0,ru,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.65466666666666,0.604,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.686,1.0,0.0,0.0,0.0,1.0,2.187,0.0,1.0,0.0,0.0,1.0,1.919,0.0,1.0,0.0,0.0,1.0,1.91,0.0,1.0,0.0,0.0,1.0,1.4,1.0,0.0,0.0,0.0,1.0
34,False,200000000.0,451048.0,7/28/2021,217000000.0,127.0,en,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.1325,1.975,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.534,0.0,1.0,0.0,0.0,1.0,2.41,1.0,0.0,0.0,0.0,1.0,18.449,1.0,0.0,0.0,0.0,1.0,18.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,False,200000000.0,508943.0,6/17/2021,49010641.0,95.0,en,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.705,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.754,1.0,0.0,0.0,0.0,1.0,1.226,0.0,1.0,0.0,0.0,1.0,1.38,1.0,0.0,0.0,0.0,1.0,7.578,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,False,200000000.0,385128.0,5/19/2021,721077945.0,143.0,en,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0187,7.686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.189,0.0,1.0,0.0,0.0,1.0,22.229,1.0,0.0,0.0,0.0,1.0,13.544,1.0,0.0,0.0,0.0,1.0,9.932,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,False,180000000.0,436969.0,7/28/2021,167381210.0,132.0,en,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.697,1.0,0.0,0.0,0.0,1.0,9.932,1.0,0.0,0.0,0.0,1.0,16.538,1.0,0.0,0.0,0.0,1.0,18.061,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,False,26000000.0,675445.0,8/9/2021,135000000.0,86.0,en,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.831,0.0,1.0,0.0,0.0,1.0,1.103,0.0,0.0,1.0,0.0,1.0,3.085,1.0,0.0,0.0,0.0,1.0,1.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,False,160000000.0,429617.0,6/28/2019,1131927996.0,129.0,en,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,813.1673333333333,4.895,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.712,1.0,0.0,0.0,0.0,1.0,14.921,1.0,0.0,0.0,0.0,1.0,11.442,0.0,1.0,0.0,0.0,1.0,9.018,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,False,161900000.0,379686.0,7/8/2021,148810604.0,115.0,en,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,301.411,2.342,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.658,1.0,0.0,0.0,0.0,1.0,1.694,1.0,0.0,0.0,0.0,1.0,5.871,1.0,0.0,0.0,0.0,1.0,4.272,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,False,200000000.0,497698.0,7/7/2021,378328978.0,134.0,en,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.393,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.639,0.0,1.0,0.0,0.0,1.0,16.594,0.0,1.0,0.0,0.0,1.0,5.355,1.0,0.0,0.0,0.0,1.0,5.877,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,False,200000000.0,102382.0,4/16/2014,708962323.0,142.0,en,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.488,4.607,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.342,0.0,1.0,0.0,0.0,1.0,10.578,1.0,0.0,0.0,0.0,1.0,10.143,1.0,0.0,0.0,0.0,1.0,4.717,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,False,20000000.0,610253.0,10/14/2021,127000000.0,105.0,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.44509090909091,3.681,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.383,0.0,1.0,0.0,0.0,1.0,5.817,0.0,1.0,0.0,0.0,1.0,2.142,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
